StockCode,StockName
00388,HONG KONG EXCHANGES AND CLEARING LIMITED -HKD TRADED SHARES
00389,CHINA TONTINE WINES GROUP LIMITED
00390,CHINA RAILWAY GROUP LIMITED
00391,MEI AH ENTERTAINMENT GROUP LIMITED
00392,BEIJING ENTERPRISES HOLDINGS LIMITED
00393,GLORIOUS SUN ENTERPRISES LIMITED
00396,HING LEE (HK) HOLDINGS LIMITED
00397,MINERVA GROUP HOLDING LIMITED
00398,ORIENTAL WATCH HOLDINGS LIMITED
00399,STARCOIN GROUP LIMITED
00400,"INGDAN, INC."
00401,WANJIA GROUP HOLDINGS LIMITED
00403,STARLITE HOLDINGS LIMITED
00405,YUEXIU REAL ESTATE INVESTMENT TRUST
00406,YAU LEE HOLDINGS LIMITED
00408,YIP'S CHEMICAL HOLDINGS LIMITED
00410,SOHO CHINA LIMITED
00411,LAM SOON (HONG KONG) LIMITED
00412,SHANDONG HI-SPEED HOLDINGS GROUP LIMITED
00413,SOUTH CHINA HOLDINGS COMPANY LIMITED
00417,TSE SUI LUEN JEWELLERY (INTERNATIONAL) LIMITED
00418,FOUNDER HOLDINGS LIMITED
00419,HONY MEDIA GROUP
00420,FOUNTAIN SET (HOLDINGS) LTD
00422,VIETNAM MANUFACTURING AND EXPORT PROCESSING (HOLDINGS) LIMITED
00423,HONG KONG ECONOMIC TIMES HOLDINGS LIMITED
00425,MINTH GROUP LIMITED
00426,ONE MEDIA GROUP LIMITED
00428,COCOON HOLDINGS LIMITED
00430,ORIENTAL EXPLORER HOLDINGS LIMITED
00431,GREATER CHINA FINANCIAL HOLDINGS LIMITED
00432,PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED
00433,NORTH MINING SHARES COMPANY LIMITED
00434,BOYAA INTERACTIVE INTERNATIONAL LIMITED
00435,SUNLIGHT REAL ESTATE INVESTMENT TRUST
00436,NEW UNIVERSE ENVIRONMENTAL GROUP LIMITED
00438,IRICO GROUP NEW ENERGY COMPANY LIMITED
00439,GENESIS SCALE HOLDINGS LIMITED
00440,DAH SING FINANCIAL HOLDINGS LTD
00442,DOMAINE POWER HOLDINGS LIMITED
00444,SINCERE WATCH (HONG KONG) LIMITED
00450,HUNG HING PRINTING GROUP LIMITED
00451,DYNASTY DIGITAL HOLDINGS LIMITED
00455,TIANDA PHARMACEUTICALS LIMITED
00456,NEW CITY DEVELOPMENT GROUP LIMITED
00458,TRISTATE HOLDINGS LTD
00460,SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.
00464,CHINA IN-TECH LIMITED
00465,FUTONG TECHNOLOGY DEVELOPMENT HOLDINGS LIMITED
00467,UNITED ENERGY GROUP LIMITED
00468,GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED
00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD."
00471,SILKWAVE INC
00472,NEW SILKROAD HOLDING GROUP LIMITED
00474,ACESO LIFE SCIENCE GROUP LIMITED
00475,CENTRAL DEVELOPMENT HOLDINGS LIMITED
00476,EV DYNAMICS (HOLDINGS) LIMITED
00480,HKR INTERNATIONAL LTD
00482,SANDMARTIN INTERNATIONAL HOLDINGS LIMITED
00483,BAUHAUS INTERNATIONAL (HOLDINGS) LIMITED
00484,FORGAME HOLDINGS LIMITED
00485,CHINA SINOSTAR GROUP COMPANY LIMITED
00486,"UNITED COMPANY RUSAL,INTERNATIONAL PUBLIC JOINT-STOCK COMPANY"
00487,SUCCESS UNIVERSE GROUP LIMITED
00488,LAI SUN DEVELOPMENT COMPANY LIMITED
00491,EMPEROR CULTURE GROUP LIMITED
00493,GOME RETAIL HOLDINGS LIMITED
00495,PALADIN LTD
00496,KASEN INTERNATIONAL HOLDINGS LIMITED
00497,CSI PROPERTIES LIMITED
00498,BLUE RIVER HOLDINGS LIMITED
00499,QINGDAO HOLDINGS INTERNATIONAL LIMITED
00500,FRONTIER SERVICES GROUP LIMITED
00501,"OMNIVISION INTEGRATED CIRCUITS GROUP, INC."
00505,XINGYE ALLOY MATERIALS GROUP LIMITED
00506,CHINA FOODS LIMITED
00508,DINGYI GROUP INVESTMENT LIMITED
00509,CENTURY SUNSHINE GROUP HOLDINGS LIMITED
00510,CASH FINANCIAL SERVICES GROUP LIMITED
00511,TELEVISION BROADCASTS LIMITED
00512,GRAND PHARMACEUTICAL GROUP LIMITED
00513,CONTINENTAL HOLDINGS LIMITED
00515,CHINA SILVER TECHNOLOGY HOLDINGS LIMITED
00517,"COSCO SHIPPING INTERNATIONAL (HONG KONG) CO., LTD."
00518,TUNGTEX (HOLDINGS) CO. LTD
00519,NOVAUTEK TECHNOLOGIES GROUP LIMITED
00520,"XIABUXIABU CATERING MANAGEMENT (CHINA) HOLDINGS CO., LTD."
00521,CWT INTERNATIONAL LIMITED
00522,ASMPT LIMITED
00524,GREAT WALL TERROIR HOLDINGS LIMITED
00525,GUANGSHEN RAILWAY COMPANY LIMITED
00526,LISI GROUP (HOLDINGS) LIMITED
00527,CHINA RUIFENG RENEWABLE ENERGY HOLDINGS LIMITED
00528,KINGDOM HOLDINGS LIMITED
00529,SIS INTERNATIONAL HOLDINGS LIMITED
00532,WONG'S KONG KING INTERNATIONAL (HOLDINGS) LTD
00533,GOLDLION HOLDINGS LIMITED
00535,GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED
00536,TRADELINK ELECTRONIC COMMERCE LIMITED
00538,AJISEN (CHINA) HOLDINGS LIMITED
00540,SPEEDY GLOBAL HOLDINGS LIMITED
00542,CHINA CULTURAL TOURISM AND AGRICULTURE GROUP LIMITED
00543,PACIFIC ONLINE LIMITED
00544,DAIDO GROUP LIMITED
00546,FUFENG GROUP LIMITED
00547,DIGITAL DOMAIN HOLDINGS LIMITED
00548,SHENZHEN EXPRESSWAY CORPORATION LIMITED
00550,ALLEGRO CULTURE LIMITED
00551,YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED
00552,CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED
00553,NANJING PANDA ELECTRONICS COMPANY LIMITED
00554,HANS GROUP HOLDINGS LIMITED
00556,PAN ASIA ENVIRONMENTAL PROTECTION GROUP LIMITED
00557,CHINA TIAN YUAN HEALTHCARE GROUP LIMITED
00558,L.K. TECHNOLOGY HOLDINGS LIMITED
00559,DETAI NEW ENERGY GROUP LIMITED
00560,CHU KONG SHIPPING ENTERPRISES (GROUP) COMPANY LIMITED
